,name,Развитие цифровой образовательной среды,Обновление образовательного процесса,Обновление функционирования образовательной организации,Обновление процесса профессионального обучения,Организация,Код региона
0,1,81.4,25.55,28.19,15.88,Алексеевский аграрный колледж,16
1,2,92.21,65.49,64.45,32.83,Альметьевский политехнический техникум,16
2,3,82.25,12.7,29.69,36.01,Альметьевский профессиональный колледж,16
3,4,89.94,23.73,42.82,26.87,Атнинский сельскохозяйственный техникум им. Габдуллы Тукая,16
4,5,89.35,28.13,34.21,31.25,Казанский колледж коммунального хозяйства и строительства,16
5,6,79.27,22.14,42.19,29.06,Казанский политехнический колледж,16
6,7,80.52,26.4,43.49,42.3,Казанский энергетический колледж,16
7,8,85.56,19.16,52.28,33.11,Камский строительный колледж имени Е.Н.Батенчука,16
8,9,75.59,14.98,27.96,15.34,Международный колледж сервиса,16
9,10,85.15,49.46,57.53,40.7,Набережночелнинский педагогический колледж,16
10,11,77.83,44.62,52.76,25.96,Набережночелнинский политехнический колледж,16
11,12,83.31,32.13,47.75,27.4,Нижнекамский индустриальный техникум,16
12,13,90.43,37.41,58.1,51.19,Нижнекамский педагогический колледж,16
13,14,76.56,50.47,61.2,47.26,Нижнекамский политехнический колледж имени Е.Н.Королёва,16
14,15,83.01,27.77,47.13,31.73,Колледж нефтехимии и нефтепереработки им. Н.В. Лемаева,16
15,16,75.81,54.74,34.61,55.67,ГБПОУ Нижегородский радиотехнический колледж,52
16,17,85.88,49.58,36.41,32.25,ГБПОУ Шахунский колледж аграрной индустрии ,52
17,18,76.54,27.38,25.93,38.17,ГБПОУ Нижегородский колледж малого бизнеса,52
18,19,87.47,36.92,41.14,40.95,ГБПОУ Уренский индустриально-энергетический техникум,52
19,20,86.42,56.39,48.92,54.35,ГБПОУ Нижегородский губернский колледж,52
20,21,91.66,61.51,74.2,53.52,ГАПОУ Перевозский строительный колледж,52
21,22,87.35,30.68,43.35,45.51,ГБОУ ВО Нижегородский государственный инженерно-экономический университет,52
22,23,91.89,79.87,52.42,43.01,ГБПОУ Арзамасский приборостроительный колледж имени Пландина,52
23,24,70.53,41.67,39.22,44.71,ГБПОУ Кулебакский металлургический колледж,52
24,25,75.07,37.81,41.97,34.75,ГБПОУ Нижегородский индустриальный колледж,52
25,26,79.56,33.8,36.71,39.37,«Колледж Петербургской моды» (СПб ГБ ПОУ КПМ),78
26,27,76.96,39.08,51.79,60.57,Колледж банковского дела и информационных систем,78
27,28,74.96,23.75,41.95,27.08,«Академия индустрии красоты «ЛОКОН»,78
28,29,76.92,58.63,50.71,18.15,"Пожарно-спасательный колледж ""Санкт-Петербургский центр подготовки спасателей",78
29,30,80.34,43.26,52.11,40.71,"Санкт-Петербургское государственное бюджетное профессиональное образовательное учреждение ""Колледж электроники и приборостроения""",78
30,31,88.74,26.79,56.05,42.13,"СПбГБПОУ Автомеханический колледж
",78
31,32,92.44,63.34,66.64,34.81,Санкт-Петербургский технический колледж,78
32,33,92.83,59.04,78.1,44.51,СПб ГБ ПОУ «Радиотехнический колледж»,78
33,36,93.75,75.0,100.0,74.15,IT Hub,77
34,38,76.65,64.69,17.58,12.81,Колледж РосНОУ,77
