,name,A1,A2,A3,A4,B1,B2,C1,C2,C3,C4,C7,C9,D1,D2,D3,D4,D5,D6,D8,D9,Организация,Код региона
0,1,58.67,83.47,87.83,95.63,27.35,23.75,46.41,23.53,31.03,54.46,0.0,13.69,36.0,10.0,10.0,8.0,15.0,0.0,14.56,33.5,Алексеевский аграрный колледж,16
1,2,86.35,87.91,95.99,98.6,81.03,49.95,70.63,59.6,90.6,56.47,100.0,9.4,50.63,10.0,20.0,64.38,50.0,6.82,27.04,33.75,Альметьевский политехнический техникум,16
2,3,68.74,72.37,92.86,95.05,8.56,16.83,36.71,17.67,46.23,22.16,50.0,5.37,47.5,0.0,60.0,61.43,25.0,13.64,29.12,51.43,Альметьевский профессиональный колледж,16
3,4,74.53,90.5,94.73,100.0,24.73,22.73,54.55,11.46,44.51,38.48,50.0,57.95,82.5,50.0,10.0,7.5,15.0,4.55,10.4,35.0,Атнинский сельскохозяйственный техникум им. Габдуллы Тукая,16
4,5,86.21,86.67,86.55,97.98,32.03,24.23,33.33,13.4,77.93,25.05,50.0,5.56,72.5,0.0,0.0,28.75,50.0,0.0,18.72,80.0,Казанский колледж коммунального хозяйства и строительства,16
5,6,86.76,52.22,79.3,98.79,20.85,23.44,49.4,31.5,21.33,49.51,100.0,1.39,46.25,0.0,0.0,78.75,25.0,0.0,24.96,57.5,Казанский политехнический колледж,16
6,7,63.21,75.77,84.62,98.47,37.79,15.0,35.42,30.38,46.59,45.77,100.0,2.8,61.67,0.0,60.0,71.67,50.0,15.91,12.48,66.67,Казанский энергетический колледж,16
7,8,74.41,80.53,88.53,98.76,16.86,21.46,55.77,48.31,55.29,39.15,100.0,15.14,52.67,20.0,50.0,39.0,25.0,13.64,33.28,31.33,Камский строительный колледж имени Е.Н.Батенчука,16
8,9,58.47,65.73,84.82,93.33,11.16,18.8,38.75,19.33,17.46,35.9,50.0,6.32,56.43,0.0,0.0,17.5,0.0,11.37,14.56,22.86,Международный колледж сервиса,16
9,10,100.0,66.67,73.94,100.0,48.92,50.0,75.0,24.07,59.72,85.0,100.0,1.39,75.0,30.0,30.0,100.0,50.0,2.27,8.32,30.0,Набережночелнинский педагогический колледж,16
10,11,58.9,76.88,76.71,98.84,61.86,27.38,52.34,37.61,36.83,32.63,100.0,57.17,57.81,0.0,10.0,40.0,15.0,11.37,22.88,50.63,Набережночелнинский политехнический колледж,16
11,12,76.67,69.83,89.18,97.56,46.84,17.41,56.25,52.92,39.7,36.69,100.0,0.94,53.0,10.0,0.0,49.5,50.0,0.0,18.72,38.0,Нижнекамский индустриальный техникум,16
