,index,name
0,A1,Доступность сети интернет
1,A2,Наличие оборудования для организации работы образовательной организации
2,A3,Доступность цифровых устройста для участников образовательного процесса
3,A4,Организация и доступность технической поддержкий на уровне образовательной организации
5,B1,"Использование инструментов, сервисов и ресурсов учебного назначения"
6,B2,"Нормализация работы обучающихся с цифровыми технологиями, как инструментами и источниками сведений"
8,C1,Организация поддержки перехода педагогов к цифровой диадктике
9,C2,Участие педагогов в мероприятиях по повышению цифровой компетентности и освоению цифровых инструментов
10,C3,Использование инструментов и сервисов для решения задач управления образовательной организацией
11,C4,Сформириованность общего видения цифровой трансформации в организации
12,C7,Возможность организации приемной кампании в дистанционном формате
13,C9,Обеспечение совместной работы образовательных организаций в процессе цифровой трансформации образования
15,D1,"Использование возможностей учебно-лабораторного, производстенного оборудования и программного обеспечения"
16,D2,Реализация возможности прохождения производственной практики с использованием дистанционных образовательных технологий
17,D3,Организация процесса дополнительного профессионального образования практической направленности
18,D4,"Наличие реальных задач о работодателей, решаемых обучающимися с использованием цифровых инструментов и/или технологий"
19,D5,"Профориентация и мониторинг трудоустройства выпускников, поддержание обратной связи"
20,D6,"Участие в реализации образовательных программ Национального проекта ""Образование"" и других федеральных проектов"
21,D8,Масштаб профессионального обучения
22,D9,Технологичность профиля основных профессиональных образовательных программ
